
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 5.749878 seconds (31.7 MB/s)
csr_from_coo: 0.503411 seconds, 4194304 rows, 4194304 columns, 25165738 nonzeros, 3 to 23 nonzeros per row, 1 threads, 4194304 to 4194304 rows per thread, 25165738 to 25165738 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv: 0.138502 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138479 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138366 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138617 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138594 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138955 seconds (0.091 Gnz/s, 0.362 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.139006 seconds (0.091 Gnz/s, 0.362 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.139152 seconds (0.090 Gnz/s, 0.362 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137703 seconds (0.091 Gnz/s, 0.366 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137735 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137677 seconds (0.091 Gnz/s, 0.366 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137793 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137864 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137801 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137996 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138035 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137827 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137819 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137914 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138130 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138097 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
region,threads,EFFECTIVE_INST_SPEC,CPU_CYCLES,FP_DP_FIXED_OPS_SPEC,FP_DP_SCALE_OPS_SPEC,L2D_CACHE_REFILL,L2D_CACHE_WB,L2D_SWAP_DM,L2D_CACHE_MIBMCH_PRF,L1D_CACHE_REFILL,CPI ,Frequency ,L1D cache miss rate ,L2D cache miss rate ,L2-Memory Bandwidth ,DP (FP) ,DP (FP+SVE512) ,Computational Intensity (FP+SVE512) ,time
gemv,0,16152149154,30293017397,419433706,4259636800,223970784,16510070,5673145,6955399,247215458,1.875479,2198.741895,0.015305,0.013084,4.233749,30.443533,1267.143300,0.299296,13.777432
total,-1,16152149154,30293017397,419433706,4259636800,223970784,16510070,5673145,6955399,247215458,1.875479,2198.741895,0.015305,0.013084,4.233749,30.443533,1267.143300,0.299296,13.777432
