matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
barrier2-3,1,3805068,113076,1,449607.84375,185429.84375,371115.84375,178362.5625,17.457880482095124,3.811296556733468
barrier2-4,1,3805068,113076,1,449607.84375,185429.84375,371115.84375,178362.5625,17.457880482095124,3.811296556733468
barrier2-9,1,3897557,115625,1,457375.578125,189924.578125,377423.578125,182697.984375,17.48060102547698,3.8049808094051807
bbmat,1,1771722,38744,1,86704.0,85471.0,86684.0,83049.46875,0.023066986528879868,2.8331612476746497
bcsstk30,1,2043492,28924,1,98868.46875,97596.46875,98709.46875,95788.6875,0.16081972544962675,1.852301905134247
bcsstk31,1,1181416,35588,1,58716.15625,57603.15625,58716.15625,55378.875,0.0,3.861387803728203
bcsstk32,1,2014701,44609,1,100075.203125,97227.203125,99273.203125,94439.109375,0.8013973241685589,2.8676066577946213
bcsstk35,1,1450163,30237,1,71157.234375,69866.234375,70966.234375,67976.390625,0.26841965076021124,2.7049457680178572
bcsstk36,1,1143140,23052,1,56208.46875,55025.46875,56035.46875,53584.6875,0.30778280185759377,2.6183897797326807
bcsstk37,1,1140977,25503,1,56171.265625,55077.265625,56110.265625,53483.296875,0.108596449307795,2.8940593399329635
bcsstk39,1,2089294,46772,1,102320.9375,100858.9375,102320.9375,97935.65625,0.0,2.898385926383569
belgium_osm,1,3099940,1441295,1,581299.65625,424108.65625,573976.65625,393182.65625,1.2597633460238262,7.291999242234283
BenElechi1,1,13150496,245874,1,639480.65625,631796.65625,639480.65625,616429.5,0.0,2.4322946470168185
bmw3_2,1,11288630,227362,1,573136.6875,543364.6875,564890.6875,529154.53125,1.4387492861377855,2.6152152646099216
bmw7st_1,1,7339667,141347,1,371719.109375,352881.109375,365841.109375,344046.890625,1.5813015397252872,2.5034547090510433
bmwcra_1,1,10644002,148770,1,524912.75,508235.75,517321.75,498937.59375,1.446145097447147,1.829496695185256
bone010,1,71666325,986703,1,3512873.953125,3451862.953125,3512873.953125,3451862.953125,0.0,0.0
boneS01,1,6715152,127224,1,334493.28125,322724.28125,334259.28125,314772.75,0.06995656209462353,2.463877592104793
boneS10,1,55468422,914898,1,2742624.4375,2685854.4375,2742624.4375,2685854.4375,0.0,0.0
boyd1,1,1211231,93279,1,89464.421875,62606.421875,88671.421875,56776.453125,0.8863858765085213,9.312093832227175
boyd2,1,1500397,466316,1,138959.890625,119285.890625,138681.890625,99475.890625,0.20005772798873056,16.60716107848568
Bump_2911,1,127729899,2911419,1,6612894.734375,6260284.734375,6535776.734375,6260284.734375,1.1661761315982688,0.0
bundle_adj,1,20208051,513351,1,1559631.859375,1011422.859375,1184323.859375,979336.859375,24.063883905936574,3.172362548719461
c-73b,1,1279274,169422,1,234104.875,70554.875,176079.875,59965.96875,24.78589990917532,15.008043384670442
c-73,1,1279274,169422,1,234104.875,70554.875,176079.875,59965.96875,24.78589990917532,15.008043384670442
ca2010,1,3489366,710145,1,1720305.125,231099.125,1363367.125,226320.125,20.748528549550187,2.0679437881904574
cage12,1,2032536,130228,1,132909.40625,103414.40625,126166.40625,95275.125,5.073380575725805,7.870548741849011
cage13,1,7479343,445315,1,506148.421875,389168.421875,475963.421875,378426.421875,5.963665734288229,2.7602445101391875
cage14,1,27130349,1505785,1,1989230.703125,1452803.703125,1779163.703125,1415514.703125,10.560213034616515,2.56669224615761
cage15,1,99199551,5154859,1,7889621.671875,5596007.671875,6782010.671875,5425219.671875,14.03883539749976,3.051961505670626
caidaRouterLevel,1,1218132,192244,1,977435.21875,69115.21875,934266.21875,57099.9375,4.416558680503346,17.38442193673879
cant,1,4007383,62451,1,193701.296875,191749.296875,193701.296875,187846.078125,0.0,2.035584387328669
case39,1,1042160,40216,1,63685.78125,51364.78125,63674.78125,48851.25,0.017272301264263757,4.893491588655408
c-big,1,2341011,345241,1,295595.484375,131312.484375,269302.484375,131312.484375,8.894926137181455,0.0
cfd1,1,1828364,70656,1,97961.59375,90120.59375,93053.59375,85704.5625,5.0101267365303555,4.900135547542373
cfd2,1,3087898,123440,1,162874.25,152460.25,156318.25,144745.21875,4.025191213466831,5.060355896045034
channel-500x100x100-b050,1,85362744,4802000,1,5061826.65625,4453578.65625,5061826.65625,4451566.65625,0.0,0.04517715202304619
Chebyshev4,1,5377761,68121,1,626695.140625,256340.140625,626695.140625,252082.546875,0.0,1.660915742504969
circuit5M_dc,1,19194193,3523317,1,1713945.140625,1471946.140625,1689153.140625,1396663.140625,1.446487370707761,5.114521375628203
circuit5M,1,59524291,5558326,1,5897122.546875,3957051.546875,5869657.546875,3955100.546875,0.4657356156614761,0.049304386786185844
citationCiteseer,1,2313294,268495,1,2396491.625,125216.625,2352962.625,108435.65625,1.8163635351740486,13.401550113653037
cit-Patents,1,16518948,3774768,1,16883539.71875,13849692.71875,16665595.71875,11751399.71875,1.2908667473205424,15.150466097773329
cnr-2000,1,3216152,325557,1,200659.46875,171104.46875,192235.46875,171104.46875,4.198157232487939,0.0
coAuthorsCiteseer,1,1628268,227320,1,458246.59375,90532.59375,449180.59375,76325.0625,1.9784107778760767,15.693277593739547
coAuthorsDBLP,1,1955352,299067,1,775487.84375,110348.84375,757931.84375,110348.84375,2.2638652741614944,0.0
com-Amazon,1,1851744,334863,1,1895732.46875,107729.46875,1874208.46875,107729.46875,1.135392274743936,0.0
com-DBLP,1,2099732,317080,1,1520980.46875,118242.46875,1481658.46875,118242.46875,2.5853060448775076,0.0
com-LiveJournal,1,69362378,3997962,1,42536307.125,20470528.125,39639565.125,15930848.125,6.810045807426213,22.176662821199198
com-Orkut,1,234370166,3072441,1,202020682.125,96680137.125,192587822.125,61857293.125,4.669254603428887,36.01861254600491
CO,1,7666057,221119,1,456280.390625,373166.390625,447253.390625,359346.421875,1.9783887682823866,3.7034334005411207
com-Youtube,1,5975248,1134890,1,3573152.40625,905857.40625,3306493.40625,578506.40625,7.462849878263572,36.13714451539817
consph,1,6010480,83334,1,298756.65625,286949.65625,291276.65625,281741.25,2.503709906881782,1.8150940893486436
cop20k_A,1,2624331,121192,1,435908.046875,130590.046875,400538.046875,123015.515625,8.11409659756582,5.8002362593914185
coPapersCiteseer,1,32073440,434102,1,2250211.90625,1539950.90625,2062488.90625,1530573.90625,8.342458747044947,0.60891551554941
coPapersDBLP,1,30491458,540486,1,2996223.5,1614553.5,2669165.5,1463067.5,10.91567434805848,9.382532074657172
CoupCons3D,1,22322336,416800,1,1149829.53125,1080488.53125,1120692.53125,1072409.53125,2.5340278022190517,0.7477173302944302
crankseg_1,1,10614210,52804,1,529043.375,500841.375,517266.375,497541.09375,2.2260934653987494,0.6589474062521292
crankseg_2,1,14148858,63838,1,710516.625,667217.625,691252.625,663227.71875,2.7112666082936485,0.5979917347057491
crashbasis,1,1750416,160000,1,107050.78125,92050.78125,107050.78125,82050.75,0.0,10.863602800763845
crystk03,1,1751178,24696,1,84402.0,83630.0,84402.0,82086.46875,0.0,1.8456669257443503
ct20stif,1,2698463,52329,1,134460.046875,129761.046875,132932.046875,126490.453125,1.1363970454513497,2.520474232263703
Cube_Coup_dt0,1,127206144,2164760,1,6456320.53125,6165734.53125,6347950.53125,6165734.53125,1.6785102207281306,0.0
Cube_Coup_dt6,1,127206144,2164760,1,6456320.53125,6165734.53125,6347950.53125,6165734.53125,1.6785102207281306,0.0
CurlCurl_1,1,2472071,226451,1,150276.546875,130031.546875,150276.546875,115878.328125,0.0,10.884450035502201
CurlCurl_2,1,8921789,806529,1,542240.953125,493821.953125,542240.953125,493821.953125,0.0,0.0
CurlCurl_3,1,13544618,1219574,1,823298.375,749239.375,823298.375,749239.375,0.0,0.0
CurlCurl_4,1,26515867,2380515,1,1611213.484375,1466105.484375,1611213.484375,1466105.484375,0.0,0.0
darcy003,1,2101242,389874,1,400568.875,128556.875,370195.875,122862.875,7.582466311193051,4.4291680238804805
dawson5,1,1010777,51537,1,53007.265625,50601.265625,52393.265625,47380.171875,1.158331773503927,6.365638705306592
dblp-2010,1,1615400,326186,1,266899.53125,96108.53125,257633.53125,96108.53125,3.47171834907447,0.0
debr,1,4194298,1048576,1,360331.75,345881.75,360217.75,336779.75,0.031637511820704116,2.6315351995298975
delaunay_n18,1,1572792,262144,1,129865.65625,90108.65625,126822.65625,73724.625,2.3431907155976814,18.182527552673385
delaunay_n19,1,3145646,524288,1,260142.1875,235071.1875,254259.1875,180220.1875,2.261455574175181,23.333782665304316
delaunay_n20,1,6291372,1048576,1,520907.09375,484941.09375,508912.09375,477718.09375,2.3027138896589463,1.4894592545550798
delaunay_n21,1,12582816,2097152,1,1043444.53125,978370.53125,1019826.53125,973235.53125,2.26346483139901,0.5248522758999442
delaunay_n22,1,25165738,4194304,1,2090558.0,1959904.0,2041725.0,1957511.0,2.335883529660502,0.12209781703593646
delaunay_n23,1,50331568,8388608,1,4187781.28125,3925515.28125,4090302.28125,3919065.28125,2.327700360963067,0.16430963931813122
delaunay_n24,1,100663202,16777216,1,8368102.625,7849797.625,8174487.625,7847139.625,2.313726404616124,0.03386074555011219
denormal,1,1156224,89400,1,62579.53125,59785.53125,62579.53125,54198.0,0.0,9.345959019139768
dgreen,1,38259877,1200611,1,29286546.953125,1983974.953125,24845780.953125,1971364.953125,15.163160092269434,0.6355927014168061
dielFilterV2real,1,48538952,1157456,1,3132702.40625,2419946.40625,2825789.40625,2419946.40625,9.797068479523723,0.0
dielFilterV3real,1,89306020,1102824,1,5547378.21875,4358538.21875,4994407.21875,4358538.21875,9.968150326058026,0.0
d_pretok,1,1641672,182730,1,100170.03125,88374.03125,99916.03125,76953.375,0.2535688537084289,12.923090741093695
Dubcova2,1,1030225,65025,1,75314.890625,52355.890625,71211.890625,48291.796875,5.447793877082325,7.762438383694289
Dubcova3,1,3636649,146689,1,226505.015625,179636.015625,219052.015625,170467.921875,3.290434862748969,5.10370580092296
ecology1,1,4996000,1000000,1,390271.53125,327937.53125,327937.53125,327937.53125,15.97195670418248,0.0
ecology2,1,4995991,999999,1,390271.046875,327937.046875,327937.046875,327937.046875,15.971976527370982,0.0
Emilia_923,1,41005206,923136,1,2316092.0625,2008663.0625,2122097.0625,2008663.0625,8.375962386857841,0.0
engine,1,4706073,143571,1,349091.390625,229570.390625,323208.390625,220597.171875,7.4143908142965245,3.908700388395308
eu-2005,1,19235140,862664,1,1518291.71875,986294.71875,1304430.71875,970198.71875,14.08563304132821,1.631966560705058
europe_osm,1,108109320,50912018,1,18488046.53125,17081618.53125,18316106.53125,16890264.53125,0.9300063135895564,1.1202334231380184
ex11,1,1096948,16614,1,53059.84375,52457.84375,52977.84375,51419.4375,0.15454248298648635,1.979506162984444
exdata_1,1,2269501,6001,1,107295.953125,106757.953125,106757.953125,106382.859375,0.501416860870073,0.3513497018445201
F1,1,26837113,343791,1,1974941.640625,1279476.640625,1921652.640625,1279476.640625,2.698256946120995,0.0
F2,1,5294285,71505,1,368939.703125,252638.703125,350650.703125,248169.609375,4.957178597230976,1.7689663914197629
Fault_639,1,28614564,638802,1,1514610.84375,1401195.84375,1471695.84375,1381232.84375,2.833401079695657,1.4247116196529184
fcondp2,1,11294316,201822,1,556993.96875,542034.96875,553258.96875,529421.0625,0.6705638138922846,2.327138833697249
FEM_3D_thermal2,1,3489300,147900,1,178808.71875,172804.71875,178808.71875,163560.9375,0.0,5.349264370131674
fe_rotor,1,1324862,99617,1,368393.0,68329.0,307372.0,62102.90625,16.56410409535469,9.111934537312122
filter3D,1,2707179,106437,1,320417.359375,133551.359375,155849.359375,126899.015625,51.36051315103626,4.981112720328684
fl2010,1,2346294,484481,1,1038855.625,153134.625,748454.625,140262.625,27.953932482196453,8.405675724872804
Flan_1565,1,117406044,1564794,1,5752908.96875,5650107.96875,5747328.96875,5650107.96875,0.09699440805183521,0.0
flickr,1,9837214,820878,1,7159792.3125,752935.3125,6742165.3125,534016.3125,5.832948523812366,29.075406129261605
Freescale1,1,18920347,3428755,1,1765048.484375,1557872.484375,1741162.484375,1498540.484375,1.3532772731995508,3.8085273727524176
Freescale2,1,23042677,2999349,1,3557364.828125,1507938.828125,2404296.828125,1502388.828125,32.41354361193687,0.3680520652751529
fullb,1,11708077,199187,1,606436.328125,561265.328125,599942.328125,548816.109375,1.0708461381392447,2.2180630311850336
FullChip,1,26621990,2987012,1,2294343.0625,1993745.0625,2166550.0625,1976622.0625,5.569916813606422,0.8588359826972612
G3_circuit,1,7660826,1585478,1,1243327.625,523732.625,1243072.625,516626.625,0.02050947754016163,1.3567991873716096
Ga10As10H30,1,6115633,113081,1,374828.890625,293737.890625,327620.890625,286670.296875,12.594546786744235,2.4060885488630515
Ga19As19H42,1,8884839,133123,1,558919.046875,424797.046875,466454.046875,416476.828125,16.543540700032615,1.9586338490832995
ga2010,1,1418056,291086,1,259660.28125,84664.28125,157933.28125,84664.28125,39.176958258801854,0.0
Ga3As3H12,1,5970947,61349,1,942072.484375,283722.484375,301692.484375,279888.140625,67.97566117482434,1.3514416238270681
Ga41As41H72,1,18488476,268096,1,1261428.34375,883403.34375,980454.34375,866647.3125,22.27427355601625,1.8967588665525694
GaAsH6,1,3381809,61349,1,383990.640625,162356.640625,177761.640625,158522.296875,53.70677776529465,2.361679654887846
GAP-road,1,57708624,23947347,1,10747446.96875,6700016.96875,9360679.96875,6677769.96875,12.90322254236059,0.3320439351685784
gas_sensor,1,1703365,66917,1,86691.578125,84027.578125,86119.578125,79845.234375,0.6598103441781128,4.977346537083714
Ge87H76,1,7892195,112985,1,475055.234375,377008.234375,410679.234375,369946.640625,13.551266324787562,1.873060879348333
Ge99H100,1,8451395,112985,1,508153.734375,403220.734375,436840.734375,396159.140625,14.033745139689055,1.7512972791306498
gearbox,1,9080404,153746,1,443139.09375,435253.09375,441448.09375,425643.9375,0.38159576165807424,2.207716932511752
Geo_1438,1,63156690,1437960,1,3494843.375,3095279.375,3378604.375,3095279.375,3.326014574258281,0.0
germany_osm,1,24738362,11548845,1,5133598.5625,4541768.5625,5098728.5625,4436709.5625,0.6792506187515125,2.31317379021556
G_n_pin_pout,1,1002396,100000,1,544806.34375,53237.34375,524342.34375,46987.3125,3.7561970844800756,11.739938189534485
Goodwin_054,1,1030878,32510,1,51370.3125,50354.3125,51370.3125,48322.40625,0.0,4.0352179368946794
Goodwin_071,1,1797934,56021,1,89530.5,87779.5,89530.5,84278.15625,0.0,3.9887943654270077
Goodwin_095,1,3226066,100037,1,160682.1875,157474.1875,160601.1875,151221.84375,0.05041006801080549,3.970392766751059
Goodwin_127,1,5778545,178437,1,298625.640625,282021.640625,287598.640625,270869.296875,3.692583120766641,3.954428364179721
great-britain_osm,1,16313034,7733822,1,2905045.375,2564790.375,2886211.375,2502224.375,0.6483203381978155,2.4394196348307804
gsm_106857,1,21758924,589446,1,4910224.96875,1472433.96875,3603303.96875,1056789.96875,26.61631612232838,28.2283626173644
gupta1,1,2164210,31802,1,251354.0,103435.0,176555.0,101447.34375,29.758428352045325,1.9216476531154831
gupta2,1,4248286,62064,1,492873.4375,203017.4375,336118.4375,199138.40625,31.804310817622422,1.9106887062349018
gupta3,1,9323427,16783,1,728409.609375,438084.609375,621935.609375,437035.640625,14.61732500911929,0.23944432823068745
gyro_k,1,1021159,17361,1,49939.921875,48951.921875,49494.921875,47866.828125,0.8910706771104655,2.2166519892126297
gyro,1,1021159,17361,1,49939.921875,48951.921875,49494.921875,47866.828125,0.8910706771104655,2.2166519892126297
H2O,1,2216736,67024,1,130242.53125,108098.53125,125822.53125,103909.5,3.3936686868560844,3.875197194226448
halfb,1,12387821,224617,1,629130.703125,594717.703125,625613.703125,580679.109375,0.5590253317045979,2.3605474792885586
Hamrle3,1,5514242,1447360,1,540842.125,484565.125,537415.125,484551.125,0.6336414716216863,0.0028891885275482837
Hardesty1,1,12143314,938905,1,776270.4375,657486.4375,658505.4375,656584.4375,15.170615073178025,0.13718914163913837
heart1,1,1387773,3557,1,65344.203125,65274.203125,65274.203125,65051.859375,0.10712503428359774,0.3406303552633374
helm2d03,1,2741935,392257,1,225524.296875,162140.296875,222946.296875,153044.296875,1.1431140838137244,5.6099564237337285
higgs-twitter,1,14855842,456626,1,10162983.75,748399.75,8225321.75,724906.75,19.065877183952008,3.139097788314334
hollywood-2009,1,113891327,1139905,1,36651019.046875,6997651.046875,31027192.046875,5596152.046875,15.344258212322497,20.02813502147809
hood,1,10768436,220542,1,605117.34375,518554.34375,588532.34375,504770.4375,2.740790719568596,2.6581411217809316
Hook_1498,1,60917445,1498023,1,3238333.703125,2995945.703125,3150091.703125,2995945.703125,2.7249199152899606,0.0
hugebubbles-00000,1,54940162,18318143,1,16454069.0625,11660446.0625,15977566.0625,11251587.0625,2.895958429431808,3.5063752948087528
hugebubbles-00010,1,58359528,19458087,1,30913636.34375,25672223.34375,30506579.34375,24398574.34375,1.316755477982768,4.961194762704784
hugebubbles-00020,1,63580358,21198119,1,32532885.75,26945113.75,32026843.75,25610133.75,1.5554783669936199,4.954441879095797
hugetrace-00000,1,13758266,4588484,1,4061988.0,2699789.0,3874719.0,2454146.0,4.610279498610041,9.098599927623974
hugetrace-00010,1,36164358,12057441,1,13375136.375,9793278.375,13055751.375,8913575.375,2.387900885982555,8.982722294974078
hugetrace-00020,1,47997626,16002413,1,21115732.5625,15517164.5625,20733028.5625,13876324.5625,1.8124116644650745,10.574354569683324
hugetric-00000,1,17467046,5824554,1,4732423.4375,2978283.4375,4550333.4375,2760690.4375,3.847711482389936,7.305986974250163
hugetric-00010,1,19771708,6592765,1,9972073.65625,7563522.65625,9823426.65625,6915118.65625,1.4906327923764928,8.572777916705272
hugetric-00020,1,21361554,7122792,1,10743705.375,8252763.375,10583212.375,7574679.375,1.493832848148072,8.21644786344065
human_gene1,1,24669643,22283,1,7703575.234375,1157782.234375,7320009.234375,1156389.515625,4.979064763182249,0.12029194339398588
human_gene2,1,18068388,14340,1,4542191.96875,847851.96875,4119845.96875,846955.6875,9.298286001686288,0.10571199726308354
HV15R,1,283073458,2017169,1,14101483.4375,13499882.4375,13959741.4375,13478411.4375,1.0051566604905287,0.15904582946854273
hvdc2,1,1347273,189860,1,85716.703125,75019.703125,83040.703125,63153.421875,3.1219119523269696,15.817552930365586
ia2010,1,1021170,216007,1,142328.8125,61367.8125,92981.8125,47867.34375,34.67112465369582,21.999266716570677
ifiss_mat,1,3599932,96307,1,183449.03125,174766.03125,183449.03125,168746.8125,0.0,3.4441582880540467
il2010,1,2164464,451554,1,721075.40625,140832.40625,546481.40625,129681.40625,24.213001648189273,7.917921944900377
imagesensor,1,1893170,118758,1,122463.75,96164.75,121903.75,88742.34375,0.457278174153576,7.718427230352078
in-2004,1,16917053,1382908,1,1012843.640625,929097.640625,964190.640625,920954.640625,4.803604233519941,0.8764417908242925
in2010,1,1281716,267071,1,290005.40625,76772.40625,170263.40625,60080.4375,41.28957509736079,21.742146124278865
indochina-2004,1,194109311,7414866,1,12288416.109375,9899873.109375,10154703.109375,9874985.109375,17.363612861157602,0.2513971616104
inline_1,1,36816342,503712,1,2060825.0625,1771773.0625,2000104.0625,1757248.0625,2.9464412630123475,0.8198002502366186
ins2,1,2751484,309412,1,283693.09375,148314.09375,283691.09375,148314.09375,0.0007049872006269099,0.0
invextr1_new,1,1793881,30412,1,102860.953125,85988.953125,97043.953125,84088.171875,5.655207173640508,2.210494698356057
italy_osm,1,14027956,6686493,1,2069593.28125,1822840.28125,2055825.28125,1785126.28125,0.6652514832133759,2.068968981425947
kkt_power,1,14612663,2063494,1,6485147.984375,981853.984375,4232870.984375,972423.984375,34.729770321764846,0.9604279404134287
kmer_A2a,1,360585172,170728175,1,117645083.90625,113062549.90625,114769885.90625,113022921.90625,2.4439593262487804,0.035049625214413634
kmer_P1a,1,297829984,139353211,1,95734732.21875,91755666.21875,93233227.21875,91718044.21875,2.612954506713574,0.04100237244238117
kmer_U1a,1,138778562,67716231,1,46523020.5625,44468301.5625,45279358.5625,44441885.5625,2.6732185162595763,0.059404112754053426
kmer_V1r,1,465410904,214005017,1,87004753.71875,85673941.71875,86408738.71875,85659115.71875,0.685037281901478,0.017305145184834288
kmer_V2a,1,117217600,55042369,1,37716833.09375,36053846.09375,36713230.09375,36024776.09375,2.660888833125031,0.08062940060378007
kron_g500-logn16,1,4912469,65536,1,4058023.015625,234368.015625,3788660.015625,230271.984375,6.637788868196298,1.7476920812240206
kron_g500-logn17,1,10228360,131072,1,9068598.40625,487646.40625,8775542.40625,479454.375,3.2315467823343944,1.6799121545869076
kron_g500-logn18,1,21165908,262144,1,19679993.96875,1008535.96875,19322715.96875,992151.9375,1.8154375482397214,1.6245361353156993
kron_g500-logn19,1,43562265,524288,1,41912512.203125,6022662.203125,41518765.203125,2074749.203125,0.939449771208518,65.55096179811534
kron_g500-logn20,1,89239674,1048576,1,88061793.75,38383802.75,87563433.75,11458525.75,0.5659207912739116,70.14749730600884
kron_g500-logn21,1,182082942,2097152,1,182918204.9375,116836083.9375,182299758.9375,73809431.9375,0.33809975349982924,36.826509884580325
ks2010,1,1121798,238600,1,179622.8125,67496.8125,109984.8125,52584.28125,38.76901771594296,22.093682201659522
laminar_duct3D,1,3833077,67173,1,191986.828125,183873.828125,191909.828125,179675.484375,0.04010691814225211,2.28327423908633
language,1,1216334,399130,1,309754.3125,91834.3125,288686.3125,81961.3125,6.801519510725133,10.750883554553752
largebasis,1,5560100,440020,1,329386.96875,302578.96875,329386.96875,288130.96875,0.0,4.774951828174608
ldoor,1,46522475,952203,1,2567319.734375,2289878.734375,2536703.734375,2257306.734375,1.1925277397306067,1.4224334027404386
lhr71c,1,1528092,70304,1,79040.34375,76023.34375,78833.34375,71629.3125,0.2618915735674543,5.779844759853779
lhr71,1,1528092,70304,1,79040.34375,76023.34375,78833.34375,71629.3125,0.2618915735674543,5.779844759853779
