matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
af_shell6,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell7,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell8,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell9,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
al2010,1,1230482,252266,1,243585,81645,225957.84375,57678.84375,7.236552435494796,29.35410159838324
amazon0302,1,1234877,262111,1,658001,78511,650592.859375,57884.859375,1.1258555268153088,26.271656997108682
amazon0312,1,3200440,400727,1,1596861,184106,1586609.625,177176.625,0.6419704031847481,3.763796399900057
amazon0505,1,3356824,410236,1,1613454,193008,1602007.125,185109.125,0.7094639822393449,4.092511709359198
amazon0601,1,3387388,403394,1,1628778,193142,1618124.8125,185914.8125,0.654060129741438,3.7419036253119464
amazon-2008,1,5158388,735323,1,947170,391889,936978.4375,315041.4375,1.0760014041829873,19.60952272199526
analytics,1,2006126,303813,1,201847,121215,199888.15625,113784.15625,0.9704596798565249,6.1303004991131465
apache2,1,4817870,715176,1,337442,292889,337440.65625,292887.65625,0.0003982165824052726,0.00045879155584538855
appu,1,1853104,14000,1,942877,87741,871526.25,86864.25,7.567344415019138,0.9992477860977194
arabic-2005,1,639999458,22744080,1,37610608,33157069,34908994.59375,32914688.59375,7.18311548233945,0.7310067311739769
AS365,1,22736152,3799275,1,12632717,9251843,12626318.125,9540262.125,0.05065319677469226,-3.117423469032062
asia_osm,1,25423206,11950757,1,3543587,3116723,3508054.78125,3084848.78125,1.0027189610414533,1.0226837210108182
ASIC_320k,1,2635364,321821,1,329920,160308,321673.6875,143685.6875,2.4994885123666344,10.368985016343538
ASIC_320ks,1,1827807,321671,1,146580,117780,141371.453125,112064.453125,3.553381685768863,4.852731257429105
ASIC_680k,1,3871773,682862,1,380651,274439,376067.359375,254230.359375,1.2041583038005943,7.363618372388764
ASIC_680ks,1,2329176,682712,1,215574,182863,210636.125,175620.125,2.290570755285888,3.960820395596704
as-Skitter,1,22190596,1696415,1,6398627,1810597,6205314.1875,1543858.1875,3.021160828721537,14.732091818333954
atmosmodd,1,8814880,1270432,1,610336,532302,610335.5,532301.5,8.19220888166518e-05,9.39316403094484e-05
atmosmodj,1,8814880,1270432,1,610336,532302,610335.5,532301.5,8.19220888166518e-05,9.39316403094484e-05
atmosmodl,1,10319760,1489752,1,714065,623405,714063.75,623403.75,0.00017505409171433972,0.00020051170587338888
atmosmodm,1,10319760,1489752,1,714065,623405,714063.75,623403.75,0.00017505409171433972,0.00020051170587338888
audikw_1,1,77651847,943695,1,4248270,3867494,3979777.328125,3760879.328125,6.320047263356614,2.7566861609869338
auto,1,6629222,448695,1,4514230,359416,4474691.78125,344567.78125,0.8758574275125547,4.131206944042558
av41092,1,1683902,41092,1,169491,82603,147312.90625,78932.90625,13.085115876359216,4.443051402491435
az2010,1,1196094,241666,1,504739,78867,485124.90625,56066.90625,3.8859873617850016,28.909548670546613
barrier2-10,1,3897557,115625,1,410176,197311,375419.984375,182697.984375,8.47343960275589,7.406082592962379
barrier2-11,1,3897557,115625,1,410176,197311,375419.984375,182697.984375,8.47343960275589,7.406082592962379
barrier2-12,1,3897557,115625,1,410176,197311,375419.984375,182697.984375,8.47343960275589,7.406082592962379
barrier2-1,1,3805068,113076,1,403296,192409,369012.5625,178362.5625,8.500812678528922,7.30030170106388
barrier2-2,1,3805068,113076,1,403296,192409,369012.5625,178362.5625,8.500812678528922,7.30030170106388
barrier2-3,1,3805068,113076,1,403296,192409,369012.5625,178362.5625,8.500812678528922,7.30030170106388
barrier2-4,1,3805068,113076,1,403296,192409,369012.5625,178362.5625,8.500812678528922,7.30030170106388
barrier2-9,1,3897557,115625,1,410176,197311,375419.984375,182697.984375,8.47343960275589,7.406082592962379
bbmat,1,1771722,38744,1,90008,86684,86704.46875,83049.46875,3.670264032086037,4.192851333579438
bcsstk30,1,2043492,28924,1,101188,98514,98814.6875,95788.6875,2.345448570976796,2.766421523844327
bcsstk31,1,1181416,35588,1,62635,58719,58717.875,55378.875,6.253891594156621,5.688320645787565
bcsstk32,1,2014701,44609,1,102195,98861,99620.109375,94439.109375,2.5195857184793775,4.472836229655779
bcsstk35,1,1450163,30237,1,72299,70830,71121.390625,67976.390625,1.628804513202119,4.028814591274883
bcsstk36,1,1143140,23052,1,56962,55662,56154.6875,53584.6875,1.4172825743478108,3.732011965074916
bcsstk37,1,1140977,25503,1,57387,55764,56168.296875,53483.296875,2.123657143603952,4.089920244243598
bcsstk39,1,2089294,46772,1,105283,102323,102321.65625,97935.65625,2.8127463598111757,4.287739560020719
belgium_osm,1,3099940,1441295,1,571973,383654,567663.6875,366634.6875,0.7534118743367257,4.436109749930928
BenElechi1,1,13150496,245874,1,654814,639482,639481.5,616429.5,2.341504610469538,3.6048708173177664
bmw3_2,1,11288630,227362,1,592854,557257,567125.53125,529154.53125,4.339764722849133,5.0429996841672695
bmw7st_1,1,7339667,141347,1,383463,361013,367469.890625,344046.890625,4.170704702930922,4.6995840523748456
bmwcra_1,1,10644002,148770,1,547704,514035,519147.59375,498937.59375,5.213839272672831,2.937038577139689
bone010,1,71666325,986703,1,3620891,3488752,3512874.984375,3451863.984375,2.9831335885283483,1.0573412964005466
boneS01,1,6715152,127224,1,334636,326702,334493.75,314772.75,0.04250887531526793,3.651416275382459
boneS10,1,55468422,914898,1,2776472,2685857,2742625.28125,2685855.28125,1.2190549283407144,6.39926101799165e-05
boyd1,1,1211231,93279,1,89499,63981,88689.453125,56776.453125,0.9045317545447434,11.260447437520513
boyd2,1,1500397,466316,1,138984,121888,138342.109375,114048.109375,0.461844978558683,6.432044684464426
Bump_2911,1,127729899,2911419,1,6786804,6399412,6553842.015625,6260285.015625,3.4325727452126213,2.174058872518288
bundle_adj,1,20208051,513351,1,1506863,1011425,1160411.390625,1000905.390625,22.991579816811484,1.040078045826433
c-73b,1,1279274,169422,1,176452,75579,175777.96875,59965.96875,0.3819912780812912,20.657896042551503
c-73,1,1279274,169422,1,176452,75579,175777.96875,59965.96875,0.3819912780812912,20.657896042551503
ca2010,1,3489366,710145,1,1270471,235140,1205349.03125,231588.03125,5.125813084281342,1.5105761461257123
cage12,1,2032536,130228,1,135116,107607,127009.125,95275.125,5.999937091092098,11.460104825894227
cage13,1,7479343,445315,1,508201,405525,478007.203125,391346.203125,5.941310008244769,3.496405122988718
cage14,1,27130349,1505785,1,1890799,1536727,1783203.109375,1435583.109375,5.690498600062725,6.581773511170169
cage15,1,99199551,5154859,1,7199250,5785221,6771202.953125,5516550.953125,5.9457172188075145,4.644075772991213
caidaRouterLevel,1,1218132,192244,1,920480,69121,915054.9375,57099.9375,0.589373207456979,17.39133186730516
cant,1,4007383,62451,1,197577,193703,193702.078125,187846.078125,1.9612211315082222,3.023660900966944
case39,1,1042160,40216,1,63727,51978,63718.25,48851.25,0.013730443924867011,6.015525799376659
c-big,1,2341011,345241,1,277804,152155,262513.890625,131312.890625,5.503919804970411,13.697945762544775
cfd1,1,1828364,70656,1,101818,92331,94641.5625,85704.5625,7.048299416606101,7.176828475809859
cfd2,1,3087898,123440,1,166902,156320,157411.21875,144745.21875,5.68643949742963,7.404542764841351
channel-500x100x100-b050,1,85362744,4802000,1,5061828,4565640,5061827.625,4453780.625,7.4083908026902535e-06,2.450026173767533
Chebyshev4,1,5377761,68121,1,641063,259709,628719.546875,252082.546875,1.9254664713140517,2.9365378654571077
circuit5M_dc,1,19194193,3523317,1,1699824,1456640,1683939.796875,1392708.796875,0.9344616339691639,4.388950126661357
circuit5M,1,59524291,5558326,1,5886923,3957949,5883241.140625,3955417.140625,0.06254301907804807,0.06396897420861158
citationCiteseer,1,2313294,268495,1,2341218,125220,2336329.65625,108435.65625,0.2087948986382302,13.403884163871584
cit-Patents,1,16518948,3774768,1,16569201,8679821,16551391.6875,9616529.6875,0.10748443754167748,-10.791797290520162
cnr-2000,1,3216152,325557,1,204877,183534,193596.125,179146.125,5.5061695553917716,2.390769557684135
coAuthorsCiteseer,1,1628268,227320,1,448880,90569,445881.0625,76325.0625,0.668093365710212,15.72716658017644
coAuthorsDBLP,1,1955352,299067,1,755137,110429,751249.125,110349.125,0.5148569067599653,0.07233154334459245
com-Amazon,1,1851744,334863,1,1864211,107731,1861611.5,107730.5,0.13944236998923407,0.0004641189629725891
com-DBLP,1,2099732,317080,1,1470367,118312,1465029.9375,118242.9375,0.3629748559373272,0.05837319967543444
com-LiveJournal,1,69362378,3997962,1,39618980,14906711,39307856.46875,15171623.46875,0.7852890994417322,-1.7771356052317646
com-Orkut,1,234370166,3072441,1,193388061,56351843,192557496.53125,60534392.53125,0.42948073653316166,-7.422205394861709
CO,1,7666057,221119,1,460780,380078,449592.421875,359346.421875,2.4279652165892616,5.454558833976184
com-Youtube,1,5975248,1134890,1,3220976,558596,3184894.75,498738.75,1.1201961765626318,10.71566033412341
consph,1,6010480,83334,1,300566,290787,293536.25,281741.25,2.3388373934510223,3.1107821188705134
cop20k_A,1,2624331,121192,1,411178,130954,397292.515625,123015.515625,3.377000806220177,6.062040392046062
coPapersCiteseer,1,32073440,434102,1,2204596,1718278,2062096.5,1530706.5,6.463746645643918,10.916248709463778
coPapersDBLP,1,30491458,540486,1,2821924,1765904,2664215.09375,1463270.09375,5.588701405494975,17.137619386444563
CoupCons3D,1,22322336,416800,1,1166063,1106276,1132571.5,1084359.5,2.8721861511770803,1.9811059807859883
crankseg_1,1,10614210,52804,1,550964,507767,517955.09375,497541.09375,5.991118521355297,2.013897368281121
crankseg_2,1,14148858,63838,1,740304,677478,692434.71875,663227.71875,6.466165419881562,2.1034308494150364
crashbasis,1,1750416,160000,1,107053,97053,107051.75,82050.75,0.0011676459323886298,15.457791103829866
crystk03,1,1751178,24696,1,85917,84404,84402.46875,82086.46875,1.7627841405076994,2.7457599758305293
ct20stif,1,2698463,52329,1,137877,131762,133625.453125,126490.453125,3.083579476634972,4.00080969854738
Cube_Coup_dt0,1,127206144,2164760,1,6664213,6278010,6377650.0,6165735.0,4.300027625167443,1.7883851730086446
Cube_Coup_dt6,1,127206144,2164760,1,6664213,6278010,6377650.0,6165735.0,4.300027625167443,1.7883851730086446
CurlCurl_1,1,2472071,226451,1,150279,137111,150277.328125,115878.328125,0.0011125140571869654,15.485753787077625
CurlCurl_2,1,8921789,806529,1,589409,493824,542242.859375,493823.859375,8.002276963025674,2.847674475116641e-05
CurlCurl_3,1,13544618,1219574,1,895277,749241,823298.96875,749239.96875,8.03974984837095,0.000137639290962454
CurlCurl_4,1,26515867,2380515,1,1753978,1466108,1611215.265625,1466107.265625,8.139368588146487,5.009010250268057e-05
darcy003,1,2101242,389874,1,373660,134683,362830.71875,125006.71875,2.8981644409356098,7.184485978185815
dawson5,1,1010777,51537,1,53941,52205,52605.171875,47380.171875,2.4764615505830445,9.242080499952111
dblp-2010,1,1615400,326186,1,257503,102864,253859.875,99297.875,1.4147893422600901,3.4668348498988957
debr,1,4194298,1048576,1,360353,348531,360241.71875,339148.71875,0.03088117762305295,2.6919502856273905
delaunay_n18,1,1572792,262144,1,131286,102005,127624.625,73724.625,2.7888541047788795,27.72449879907848
delaunay_n19,1,3145646,524288,1,261125,221825,254711.15625,200783.15625,2.456235040689325,9.485785529133326
delaunay_n20,1,6291372,1048576,1,526443,474583,512173.0625,469947.0625,2.7106329650123566,0.9768444086703486
delaunay_n21,1,12582816,2097152,1,1047124,973554,1021471.5,971611.5,2.449805371665629,0.19952668264934456
delaunay_n22,1,25165738,4194304,1,2112118,1961593,2054919.96875,1957375.96875,2.7080888117993407,0.21497992957764428
delaunay_n23,1,50331568,8388608,1,4200052,3928130,4097100.25,3921477.25,2.4512017946444473,0.16936175737564693
delaunay_n24,1,100663202,16777216,1,8454759,7865232,8227110.59375,7848184.59375,2.692547549255987,0.21674384493680543
denormal,1,1156224,89400,1,62580,62580,62580.0,54198.0,0.0,13.39405560882071
dgreen,1,38259877,1200611,1,25013984,1984972,24459751.734375,1981957.734375,2.215689694312589,0.15185431456967655
dielFilterV2real,1,48538952,1157456,1,3153908,2419949,2838554.375,2419947.375,9.998821303601755,6.715017547890473e-05
dielFilterV3real,1,89306020,1102824,1,5582357,4370488,5009486.6875,4358539.6875,10.262158305174678,0.27338623284173297
d_pretok,1,1641672,182730,1,102075,96044,100024.375,76953.375,2.008939505265736,19.876957436175086
Dubcova2,1,1030225,65025,1,75273,52360,71398.796875,48291.796875,5.146869561462942,7.769677473262032
Dubcova3,1,3636649,146689,1,228765,189406,219560.921875,170467.921875,4.023376882390226,9.998668534787706
ecology1,1,4996000,1000000,1,390377,327939,327938.5,327938.5,15.994410531358149,0.00015246737960413368
ecology2,1,4995991,999999,1,390376,327938,327937.078125,327937.078125,15.99455957205361,0.0002811125883551159
Emilia_923,1,41005206,923136,1,2369632,2010942,2158439.03125,2008664.03125,8.912479606538062,0.11327868978816893
engine,1,4706073,143571,1,352153,237765,324099.171875,220597.171875,7.966374878248943,7.220502649675099
eu-2005,1,19235140,862664,1,1426173,1035973,1303352.1875,985290.1875,8.611915419798299,4.892290870514966
europe_osm,1,108109320,50912018,1,18297561,16749180,18216202.375,16667050.375,0.4446419115640604,0.4903501246031149
ex11,1,1096948,16614,1,54522,52980,53031.4375,51419.4375,2.7338734822640403,2.945569082672707
exdata_1,1,2269501,6001,1,107305,106934,106994.859375,106382.859375,0.28902718885420065,0.5154026081508221
F1,1,26837113,343791,1,1975752,1422575,1923331.671875,1279481.671875,2.653183604268147,10.058754591146336
F2,1,5294285,71505,1,370898,254974,351183.609375,248169.609375,5.315313273460628,2.668660579117871
Fault_639,1,28614564,638802,1,1571773,1406292,1479161.6875,1401196.6875,5.8921557056903255,0.3623225119676426
fcondp2,1,11294316,201822,1,565556,551325,554375.0625,529421.0625,1.9769815013897827,3.9729628621956197
FEM_3D_thermal2,1,3489300,147900,1,185672,178810,178808.9375,163560.9375,3.696336819768194,8.528081483138527
fe_rotor,1,1324862,99617,1,312958,69016,296534.90625,62102.90625,5.247698972386071,10.016653746957227
filter3D,1,2707179,106437,1,195173,136881,153524.015625,126899.015625,21.339521539864634,7.2924543033730025
fl2010,1,2346294,484481,1,668407,159069,612109.53125,154125.53125,8.422633028977854,3.107751196021852
Flan_1565,1,117406044,1564794,1,5786570,5708082,5750114.3125,5650108.3125,0.6300051239335219,1.0156421631644394
flickr,1,9837214,820878,1,6691306,639427,6629664.40625,559478.40625,0.9212191723110555,12.503162010675183
Freescale1,1,18920347,3428755,1,1746701,1530003,1735551.265625,1496989.265625,0.6383310237413272,2.1577561857721848
Freescale2,1,23042677,2999349,1,2545691,1503239,2183786.484375,1501242.484375,14.216356801552113,0.13281425142641987
fullb,1,11708077,199187,1,615263,583519,601065.109375,548816.109375,2.307613268634714,5.947174063740855
FullChip,1,26621990,2987012,1,2219801,1988919,2157081.78125,1972953.78125,2.8254433055035113,0.802708343074806
G3_circuit,1,7660826,1585478,1,1243330,529129,1185105.21875,520962.21875,4.68297083236148,1.5434386038187284
Ga10As10H30,1,6115633,113081,1,356651,297273,329603.296875,286670.296875,7.58380128613126,3.5666552714171824
Ga19As19H42,1,8884839,133123,1,520207,428961,468530.828125,416476.828125,9.933770955600368,2.910327949394001
ga2010,1,1418056,291086,1,145988,95727,131209.375,86790.375,10.123177932432803,9.335532294963803
Ga3As3H12,1,5970947,61349,1,352315,285644,303289.140625,279888.140625,13.915348303364885,2.01504648268474
Ga41As41H72,1,18488476,268096,1,1114111,904710,983441.3125,866647.3125,11.728605812167729,4.20716997711974
GaAsH6,1,3381809,61349,1,194605,164277,179375.296875,158522.296875,7.82595674571568,3.5030485856206286
GAP-road,1,57708624,23947347,1,9120591,6690187,8578207.75,6674410.75,5.946799390521952,0.23581179419947454
gas_sensor,1,1703365,66917,1,91287,86123,86121.234375,79845.234375,5.658818479082455,7.289302073778201
Ge87H76,1,7892195,112985,1,463619,380541,412577.640625,369946.640625,11.009332959822613,2.78402573572887
Ge99H100,1,8451395,112985,1,495468,406754,438718.140625,396159.140625,11.45378901866518,2.60473391165176
gearbox,1,9080404,153746,1,452830,440987,442306.9375,425643.9375,2.323843937018307,3.4792550574053207
Geo_1438,1,63156690,1437960,1,3573055,3139575,3397280.84375,3095280.84375,4.919436063816538,1.4108328754688135
germany_osm,1,24738362,11548845,1,5087886,4324233,5072900.71875,4295204.71875,0.2945286362548218,0.6712931807791116
G_n_pin_pout,1,1002396,100000,1,521832,53239,518154.3125,46987.3125,0.7047646560578884,11.742683934709518
Goodwin_054,1,1030878,32510,1,53360,51371,51370.40625,48322.40625,3.7286239692653678,5.934464483852757
Goodwin_071,1,1797934,56021,1,92976,89532,89531.15625,84278.15625,3.705089216572018,5.868118382254389
Goodwin_095,1,3226066,100037,1,166781,160604,160602.84375,151221.84375,3.7043525641409993,5.841794880575827
Goodwin_127,1,5778545,178437,1,298652,287601,287600.296875,270869.296875,3.7005287508538367,5.8176790501423845
great-britain_osm,1,16313034,7733822,1,2883418,2452176,2871597.46875,2424648.46875,0.4099485835907246,1.1225756736058097
gsm_106857,1,21758924,589446,1,3827195,1313612,3565964.5625,1065919.5625,6.825636987402,18.855829384932537
gupta1,1,2164210,31802,1,204868,105069,172430.34375,101447.34375,15.833442143233691,3.4469313022870685
gupta2,1,4248286,62064,1,396906,206265,326904.40625,199138.40625,17.636819234277134,3.455066904225147
gupta3,1,9323427,16783,1,698893,439012,623123.640625,437035.640625,10.841338999675202,0.4501834517051925
gyro_k,1,1021159,17361,1,53602,49482,49520.828125,47866.828125,7.6138425338606766,3.2641604522856795
gyro,1,1021159,17361,1,53602,49482,49520.828125,47866.828125,7.6138425338606766,3.2641604522856795
H2O,1,2216736,67024,1,131859,110195,127087.5,103909.5,3.6186380906877798,5.703979309406053
halfb,1,12387821,224617,1,635326,616633,626940.109375,580679.109375,1.3199350608978697,5.830678965446221
Hamrle3,1,5514242,1447360,1,540371,484568,525027.09375,484558.09375,2.839513269587006,0.0020443467170758282
Hardesty1,1,12143314,938905,1,776282,658311,658505.84375,657730.84375,15.171826249996778,0.08812798965838334
heart1,1,1387773,3557,1,66394,65303,65283.859375,65051.859375,1.672049620447631,0.38457746964151723
helm2d03,1,2741935,392257,1,228947,178523,223123.203125,157543.203125,2.543731464050632,11.751873358054704
higgs-twitter,1,14855842,456626,1,8300324,784902,8117617.59375,725359.59375,2.2011960768037486,7.585966942369876
hollywood-2009,1,113891327,1139905,1,32196289,6843426,30979454.953125,5654852.953125,3.7794232958804663,17.368099645922964
hood,1,10768436,220542,1,610435,550493,590994.4375,504770.4375,3.184706397896582,8.305748211148915
Hook_1498,1,60917445,1498023,1,3360062,3043793,3168440.234375,2995947.234375,5.702923506322205,1.5719125980314694
hugebubbles-00000,1,54940162,18318143,1,15741103,10755241,15568680.09375,10706886.09375,1.0953673719687878,0.44959388869110417
hugebubbles-00010,1,58359528,19458087,1,30273431,22329743,30202381.875,22726109.875,0.2346913536163113,-1.7750624133918604
hugebubbles-00020,1,63580358,21198119,1,31750214,23485469,31661343.28125,23902103.28125,0.2799058889807798,-1.7740087764481092
hugetrace-00000,1,13758266,4588484,1,3790381,2188966,3719921.71875,2109451.71875,1.8588970673396685,3.632504170919055
hugetrace-00010,1,36164358,12057441,1,12909677,7596495,12831335.28125,7614311.28125,0.6068449175761718,-0.23453291616725874
hugetrace-00020,1,47997626,16002413,1,20535373,11981079,20454541.71875,12141051.71875,0.3936197372699293,-1.3352112839753414
hugetric-00000,1,17467046,5824554,1,4480851,2620387,4406825.78125,2553214.78125,1.6520348199482644,2.5634464966434347
hugetric-00010,1,19771708,6592765,1,9744166,5921031,9720283.8125,6082284.8125,0.24509216591753466,-2.72340767173825
hugetric-00020,1,21361554,7122792,1,10496771,6533008,10469969.84375,6707314.84375,0.255327626467225,-2.668094754361238
human_gene1,1,24669643,22283,1,7449444,1157785,7349235.515625,1156389.515625,1.345180719191929,0.12053052812050598
human_gene2,1,18068388,14340,1,4288864,847855,4141653.6875,846955.6875,3.4323847177247866,0.10606913918063819
HV15R,1,283073458,2017169,1,14652081,13642074,13960558.34375,13499405.34375,4.719620757283556,1.0457988737636228
hvdc2,1,1347273,189860,1,88127,80957,83869.421875,63153.421875,4.8311846823334506,21.991400527440494
ia2010,1,1021170,216007,1,90839,67926,81932.34375,47867.34375,9.804881438589153,29.530159659040724
ifiss_mat,1,3599932,96307,1,183450,182717,183449.8125,168746.8125,0.00010220768601798856,7.645806082630516
il2010,1,2164464,451554,1,521508,147989,487644.25,141678.25,6.493428672235134,4.264337214252411
imagesensor,1,1893170,118758,1,122567,101609,122056.34375,88742.34375,0.4166343714050275,12.66291002765503
in-2004,1,16917053,1382908,1,1014959,943432,970714.859375,930522.859375,4.35920471910688,1.368317019668614
in2010,1,1281716,267071,1,157711,86057,140864.4375,60080.4375,10.681919777314201,30.185298697374996
indochina-2004,1,194109311,7414866,1,12330387,9972277,10220744.953125,9902093.953125,17.10929305686026,0.7037815623753731
inline_1,1,36816342,503712,1,2113951,1827320,2005748.03125,1772421.03125,5.118518298200857,3.0043434510649476
ins2,1,2751484,309412,1,283719,166009,283716.8125,150401.8125,0.0007710093437520927,9.401410465697642
invextr1_new,1,1793881,30412,1,104119,86169,97548.171875,84088.171875,6.310882859996735,2.414822180830693
italy_osm,1,14027956,6686493,1,2055582,1778680,2045700.4375,1753409.4375,0.4807184777839074,1.4207481109586884
kkt_power,1,14612663,2063494,1,3830234,982346,3364566.578125,975937.578125,12.15767553300921,0.652358932087065
kmer_A2a,1,360585172,170728175,1,114155677,112948388,114035975.9375,112954263.9375,0.10485773957610535,-0.005202320815769411
kmer_P1a,1,297829984,139353211,1,92714708,91647193,92609971.5,91654608.5,0.11296643462437482,-0.008091355291154416
kmer_U1a,1,138778562,67716231,1,44978052,44375605,44921831.09375,44383222.09375,0.12499631209017233,-0.017165047665265633
kmer_V1r,1,465410904,214005017,1,86317008,85645267,86159713.125,85640453.125,0.18222929483375977,0.005620713401477281
kmer_V2a,1,117217600,55042369,1,36495776,35952014,36449531.0,35958224.0,0.12671329416313823,-0.0172730239813547
kron_g500-logn16,1,4912469,65536,1,3814918,234370,3783754.984375,230271.984375,0.8168724891334492,1.748523968511328
kron_g500-logn17,1,10228360,131072,1,8813616,487649,8783748.375,479454.375,0.3388804890070091,1.6804351080387736
kron_g500-logn18,1,21165908,262144,1,19370771,1008553,19335276.9375,992151.9375,0.18323515620519182,1.6261973837765593
kron_g500-logn19,1,43562265,524288,1,41628990,2092710,41572526.171875,2074750.171875,0.13563583484730232,0.8582091223819832
kron_g500-logn20,1,89239674,1048576,1,87716444,9610719,87667217.71875,10693905.71875,0.05611978667306669,-11.270610645779989
kron_g500-logn21,1,182082942,2097152,1,182504199,63368152,182442875.90625,72281924.90625,0.033600922108099,-14.066644875883394
ks2010,1,1121798,238600,1,107741,75355,100061.28125,52584.28125,7.1279445614946955,30.217926813084734
laminar_duct3D,1,3833077,67173,1,199488,186751,191988.484375,179675.484375,3.7593818299847612,3.7887430990998707
language,1,1216334,399130,1,282912,92593,279164.65625,85906.65625,1.324561612798326,7.221219476634302
largebasis,1,5560100,440020,1,329389,329389,329387.6875,296321.6875,0.00039846503678022034,10.038985060217556
ldoor,1,46522475,952203,1,2588161,2393275,2542282.015625,2283104.015625,1.7726480066348267,4.603356671297699
lhr71c,1,1528092,70304,1,79210,78222,78996.3125,71629.3125,0.269773387198586,8.428175577203344
lhr71,1,1528092,70304,1,79210,78222,78996.3125,71629.3125,0.269773387198586,8.428175577203344
li,1,1350309,22695,1,67221,65427,65425.734375,63295.734375,2.670691636542152,3.2574711128433216
Lin,1,1766400,256000,1,122401,106801,122401.0,82800.0,0.0,22.47263602400727
Linux_call_graph,1,1208908,324085,1,253543,84155,241866.5625,79251.5625,4.605308566988637,5.826673994415067
ljournal-2008,1,79023142,5363260,1,29980272,12888056,29496728.78125,12627599.78125,1.6128713533686416,2.0209116002444434
loc-Gowalla,1,1900654,196591,1,854255,104867,833154.15625,89093.15625,2.4700872397586204,15.041761230892464
Long_Coup_dt0,1,87088992,1470152,1,4693568,4298961,4439619.5,4220125.5,5.410563988846012,1.8338268246676348
Long_Coup_dt6,1,87088992,1470152,1,4693568,4298961,4439619.5,4220125.5,5.410563988846012,1.8338268246676348
lp1,1,1643420,534388,1,161049,143207,160806.3125,129796.3125,0.15069171494389907,9.36454747323804
m14b,1,3358036,214765,1,1516345,178028,1479919.9375,157407.9375,2.4021619420382563,11.582482811692543
M6,1,21003872,3501776,1,11589110,8723030,11585030.5,9011316.5,0.03520115004517172,-3.30488947074583
mac_econ_fwd500,1,1273389,206500,1,81066,79053,79052.109375,59690.109375,2.4842605099548516,24.493555747409964
majorbasis,1,1750416,160000,1,107053,97053,107051.75,82050.75,0.0011676459323886298,15.457791103829866
marine1,1,6226538,400320,1,384140,336462,384066.96875,322338.96875,0.019011623366480972,4.197511531762873
mario002,1,2101242,389874,1,373660,134683,362830.71875,125006.71875,2.8981644409356098,7.184485978185815
matrix_9,1,2121550,103430,1,116929,109447,116927.65625,99447.65625,0.0011492016522847198,9.136242884683911
mawi_201512012345,1,38040320,18571154,1,5134068,4327470,5093467.0,4306849.0,0.7908153923944912,0.4765139908537783
mawi_201512020000,1,74485420,35991342,1,9815437,8613332,9741509.0625,8575936.0625,0.7531802965064113,0.4341634282760725
mawi_201512020030,1,143414960,68863315,1,18493790,16391006,18367641.25,16335708.25,0.6821141042479665,0.33736641912033954
